Sender,Message
0,bastante comida
0,kakakakkakakakakakak
0,triste
0,que nada
0,cabelo maior e tal
0,a moça foi ai?
0,kkkkkkkkk
0,pq o theo vai voltar com o felipe
0,uai
0,manda um beijo
0,quer almoçar junto?
0,é melhor nao
0,kkkkkkkkkk
0,hello
0,e a outra ce vai?
0,indo buscar a nave?
0,não tinha internet lá dentro
0,kkkkkkkk
0,kkkkkk
0,só achou uber agora
0,curto muito jogo no meio da semana
0,que sai da rodoviária
0,ta de brincadeira ne
0,👏🏼👏🏼👏🏼
0,bora 😴
0,vou fazer a transferência
0,combina com meu tênis
0,eu sou muito limpo
0,já tô no bus
0,se nao fica muito tarde
0,ótimo
0,ta unavailable
0,meu pé tá ótimo
0,se não tiver isso
0,tendi
0,vou ler um pouco depois da aula
0,vo ver o horário que meus pais chegam
0,só pra saber
0,em outra data não dá
0,tênis necessaire e carregador
0,ah
0,👏🏼👏🏼
0,👏🏼
0,inclusive muito mal pago ne
0,kkkkkkk
0,curti muito
0,rola
0,kkkkkkk
0,👏🏼👏🏼👏🏼
0,pra ser inclusivo pros cegos?
0,kkkkkkkkkk
0,o leo eu acho
0,acabei de ver
0,educação básica do brasil é complicada
0,top
0,estou de acordo
0,quais são os planejamentos pra noite?
0,muito top
0,de onde pra onde
0,😢
0,vai lá
0,kkkkkkkk
0,é que é um pdf de um livro
0,vai virar uma mercedes
0,acho que ele desistiu
0,animo
0,vou olhar o ifood aqui
0,e eu nem sei olhar ainda essa porra
0,oi
0,kkkkkkk
0,afz😔
0,vai muita gente
0,uber
0,let's go madrid!!!
0,o povo que é isso
0,i am up now
0,hum
0,já chegamos
0,só seguir a van
0,sua mãe falo desse?
0,começa agora né
0,por isso vcs tavam juntas hoje?
0,pq
0,kkkkkkkkkkk
0,não sei
0,pala
0,que vagabunda
0,nem sei que tênis é esse
0,pq?
0,mo tarde
0,valeu baby
0,😛
0,que loucura é essa
0,sim
0,kkkkkkkkkk
0,kakakakakkakaak
0,ignite
0,10min vc passa aqui então pode ser?
0,kkkkkkkkkkkk
0,a partir de 16h
0,passar água
0,piranha
0,qq vai ter?
0,ja sabe...
0,não que eu me lembre
0,dar uma descansada pós almoço
0,kkkkkkk
0,sim
0,terapia rendeu
0,meu pai disse que tá tendo um evento grande no rj
0,conseguiu estacionar na garagem?
0,😂🫶🏼
0,tem muita água pra rolar ainda
0,no
0,entra por trás
0,uau
0,ok
0,estoy na acad
0,kkkkkkkk
0,sim
0,hello
0,kkkkkkk
0,é uma boa opção
0,para
0,em busca da aurora
0,kkkkkkk
0,tem que chegar lá cantando
0,vou pular em cima de vc
0,mais fácil
0,bom dia!! ☀️
0,bom dia☀️
0,pqp
0,acho que vou ficar por aqui mesmo
0,parece que deu certo la
0,kkkkkkkkkkk
0,muito pala
0,tem camisinha em cima da bancada ai
0,kkkkkkkkkk
0,acabou
0,🥰
0,vem pra ed física!
0,foi bom
0,era 16
0,ta assim
0,ta em casa já?
0,estudos
0,com movimento 😂👏🏼
0,muito?
0,nos vamos caminhar
0,me sinto um gênio
0,gostei
0,a gente encontra amanha no almoço
0,kkkkkk
0,kkkkkkkk
0,bizarra de top
0,tranquiiilo
0,sobe ai
0,qual o horário das suas aulas hoje?
0,comprei passagem pra san francisco!
0,te garanto que não vai acabar hoje ainda
0,baby
0,aproveita o restin
0,top
0,na sua casa?
0,traz minha carteira
0,pinterest?
0,caso vc queira vir
0,indo pra facul agora dnv
0,cai bastante
0,huuuum
0,sim
0,depois vejo isso e rj
0,kkkkkkkkkkkkk
0,kkkkkkkkkk
0,a esther tem o visto de turismo?
0,a gente passa aí
0,😂😂😂
0,se eu aguentar
0,kkkkkk
0,sem fone é foda
0,🥰😋
0,la do lado do que vc foi ontem?
0,não é possível que vai usar tudo
0,até que vem na real
0,vou na acad antes depois vou prai
0,imaginei a cena
0,brigado!
0,ela não vai poder ir hoje
0,nao
0,kkkkkkkkkkkkk
0,só vem
0,mas deu certo
0,iti😋
0,tá absurdo demais pra ser pintura
0,que top
0,que horas vamos sair?
0,e acordar antes
0,como foi essa aula nova que vc fez?
0,se não vão saber que fui eu
0,pra ser meu dependente?
0,deve ter tido um role depois
0,corte americano
0,.
0,tô a caminho já
0,útil ne
0,vou perguntar qq ele tem
0,se não vai ser muito difícil acordar
0,?
0,ai credo
0,o prof é show
0,mas está anotado🤝🏼
0,amanhã 5h e pouco eu chego
0,hum
0,pra umas três famílias ai ne
0,70
0,essa galera da trabalho pro ce ne
0,e 19h antes da acad
0,ai sim hein👏🏼
0,iti malia🥰
0,tá loco
0,tem que ser um trem rápido
0,uns 20min mais cedo
0,kkkkkkk
0,mas ficou curta embaixo
0,kkkkkkkkkkkk
0,me busca na cmmg?
0,eu entrei
0,não estava😔
0,pensei no mesmo
0,ele tinha falado com vcs?
0,tendi
0,com o lucas e o tertu tb
0,kkkkkkkkk
0,pode ser esse horário
0,rodrigao pegou leve
0,e vai da pra comprar aqui no br?
0,nu
0,KKKKKKKKKK
0,sim
0,uau baby!!!
0,esse sette?
0,kkkkkkkkkkkk boa
0,justamente
0,posso ver com o campos se rola la
0,pra europa
0,adia nossa viagem então
0,bonito
0,mando bem demais
0,1066(diárias)-728(conta que vc pagou)= 338 + 345(consumo) = 683 - 350(dinheiro consulado que vc deixou comigo)= 333 reais 💸
0,é esse o nome
0,acabou aqui
0,tudo bem
0,não tem
0,acho que nunca comi
0,pra que depois de amanha
0,as besties
0,fogaça
0,nog chamou
0,😁🫶🏼
0,indo pro aero?
0,muitos casais atualmente
0,foi opção dele então?
0,10 agora de imagem
0,ja ta ai?
0,kakakkakakakak
0,essa que tinha te mostrado
0,kkkkkkkkkkkkk
0,👏🏼👏🏼👏🏼
0,kakakakkakakakaka
0,olha na agenda ai
0,deixa pra amanhã
0,marido
0,zikei
0,ai eu vi hein
0,com certeza!❤️‍🔥
0,pode ser
0,te amo😍
0,devo sair com tia zena amanhã
0,https://www.youtube.com/watch?v=9QMXUFYZZ9Y
0,vai chegar atrasada ne
0,a gente ve
0,.
0,se tiver passando o jogo pode ser tb
0,verdade baby
0,a do tertu custa uns 2k então
0,imagino eu
0,entra na garagem
0,mas que tinha problemas com drogas
0,queria
0,último baile do ano
0,kkkkkkk
0,pro 69?
0,essa é top
0,quem sabe
0,um pouco
0,eu ia falar que te amo
0,que gata
0,bom*
0,natureza que afundou demais😂
0,que horas ce vai?
0,tive que olhar os comentários
0,vou ler agora
0,🥺
0,e te ligo
0,😂😂😂
0,imagina eu.....
0,durma bem baby🫶🏼
0,hum
0,tudo bem momozi
0,reserva virou grife
0,oi mo!
0,vou repostar as fotinhas no iphone 😎
0,kkkkkkk
0,top
0,kkkkkkk
0,to falando de vc
0,😂
0,structure of randomness é brincadeira
0,exato
0,vou perguntar depois
0,da gente ir?
0,ce que manda
0,meu celular ta cheio
0,👏🏼👍🏼😎😛
0,jaja vou pra casa
0,ai sim
0,as gêmeas
0,dia cheio
0,mesmas circunstâncias de ontem
0,pq?
0,afz
0,boa
0,atlética incompentente
0,mais conhecido como BAÇO
0,pq o capa escolheu
0,ganhar um off
0,o que uma coisa tem a ver com a outra?
0,que bosta
0,gatona😋
0,meu treinador daqui
0,tinhamu
0,vc quer ir no 1?
0,vai da pra bancar uma viagem pra cf
0,logo às 7h
0,indepa
0,💪🏼💪🏼💪🏼
0,ai sim
0,kkkkkk
0,não era pra ir com interrogação
0,tem uma quantidade boa de coisas aí
0,uai
0,o que é clubbing?
0,top
0,só brinquei
0,oh
0,passei ontem só
0,imagino que seja rápido
0,kkkkkkkkkkkkkkk
0,sim
0,vou ter que dar um gás nessa semana e na próxima
0,see u in my dreams momozi
0,vou chegar na sua casa umas 21h
0,kkkkkkkkk
0,mas isso é só a primeira etapa
0,1403
0,eu lembrei hoje
0,pelo menos a proteção contra o covid ta braba agora
0,tô treinando aqui
0,aposto
0,kkkkkkkkkkkkk
0,🥰
0,coisa sua
0,só tentar não encostar que rola
0,sim
0,nao é possível
0,👏🏼👏🏼
0,existe isso não
0,3min
0,quem vai?
0,acabou 10h30
0,não ando a pé mais😛
0,todo mundo pode dia 10 e 17?
0,olha pelo app e reclama
0,sim
0,tô acompanhando o homi
0,mais longe do que achei
0,e deixar o cartão do cruzeiro que peguei semana passada
0,barulho do que?
0,e só tá aumentando
0,povo é pontual demais
0,durma bem
0,qual?
0,vai começar o projeto la agora?
0,não sei
0,tô afim de comer um burgao
0,kkkkkk
0,nunca fui
0,fazer companhia pro seus pais
0,vish
0,kkkkkkkkk
0,ta doido
0,te amo gata
0,to fazendo trabalho ao mesmo tempo aqui
0,meu deus
0,kkkkkkkkkkkkk
0,so prainha e tal
0,te amo🥰
0,“Você tá tomando hormônio de crescimento ou algo
0,agora pronto
0,pau a pau com os cara do minas
0,vc arrasa
0,tem que tirar pra fazer a prova
0,kkkkkkkk
0,heheheh
0,afz
0,kkkkkkkkkkk
0,sim
0,kkkkkkk
0,kkkkkkkkkkk
0,depois vc me mostra
0,😂
0,ta bao
0,uai
0,vamo almoçar junto então?
0,durma bem babe
0,legal
0,kkkkkkkkkkk
0,pode vim sim
0,kkkkkk
0,kkkkkkkk
0,pensei que era divergente
0,ta ok 👍🏼
0,tô entrando na aula
0,eu vi que tinha muitos mesmo
0,oh
0,kkkkkk
0,tô na casa de nanda
0,como assim?
0,verdade
0,do baiao
0,consegui já
0,olhei umas aqui
0,especificamente o histórico social
0,filet mignon com macarrão ao molho branco
0,não
0,kkkkkkk
0,🤩
0,ok
0,tomei um cimegrip
0,tava muito bom
0,uai
0,la vem
0,kkkkkkkk
0,tendi
0,eh
0,ta cheio?
0,seila
0,qq ele falou?🤣
0,suave entao
0,almoçamos tb
0,a gente vai ficar de máscara o tempo todo?
0,carai
0,te amo gata!
0,intervalo de 1min?
0,sério?
0,a gente quem?
0,tomara que ano que vem apareça a nota certin
0,deve ser bom mesmo
0,pqp
0,poise
0,kakakakakakakakak
0,preciso estudar
0,deve abrir
0,como ele vai fazer
0,😂
0,vira tudo pra frente
0,tava brincando
0,capanema tb
0,vai me ver amanha nao?
0,vo entrar nesse time ai tb
0,pensei que era só da paisagem
0,tenho aula de inglês 13h30
0,com flor de sal
0,🥰
0,depois vo olhar umas fotinhas pra matar a saudade ja
0,kkkkkkkkkk
0,muito bonito hein
0,kkkkkkkk
0,lanchando aqui
0,isso que vc não conhece o hucm
0,que isso
0,achei bastante consideração
0,kkkkkk
0,e suas marmitas brazucas
0,kkkkkkk
0,ajudaria bastante
0,esse é do bom
0,barulhão
0,botar um colchão lá?
0,indo pra facul agora
0,🫶🏼
0,não
0,nao
0,pior que ele disse que vao sair
0,kakkakakakaak
0,ce quer ir ainda?
0,ótimo
0,bonito hein
0,seus tios nao vao?
0,kkkkkk
0,hello!!
0,hummm
0,durma bem🫶🏼
0,cada uma
0,que bom
0,que sapecada hein
0,o prof tava preenchendo um laudo
0,toma uma dipirona aí
0,comi um mc chicken
0,lembra?
0,acad e estudos até o momento
0,eu não sei dizer
0,ai sim
0,kkkkkkkkkkk
0,tô indo na center pão
0,mas talvez devem ir ao cinema daqui a pouco
0,"se eu conseguir 0,5 ainda"
0,depois da aula do mateus eu vo entao
0,saber fofocas
0,ótimo
0,kkkkkkkkkk
0,isso é no cabral?
0,kkkkkkkkkkk
0,ta doido
0,bom dia 😃
0,cida boa hein
0,hora de mimir
0,ja é bom
0,justo
0,amém 🙏🏼
0,pra salvar o jantar
0,se não ela paga
0,afz😔
0,tenta aí baby💪🏼💪🏼
0,kkkkkkkkk
0,👏🏼
0,boa mo
0,ela é muito fofa
0,não deu um sorriso
0,vou dormir tb
0,bom ponto
0,iti malia
0,qq a gente faz então?
0,pior que o teixeira desenha bem mesmo
0,foi vapt vupt
0,sim
0,🤍
0,boa
0,dormi muito bem até
0,parecendo meu patrão
0,nem lembro direito
0,fala com seus pais
0,vc tá acordada ainda?
0,tá doido
0,da não
0,kkkkkkkkk
0,hum
0,kkkkkkkkk
0,hum
0,nossa
0,cadê o joão?
0,kkkkkkk
0,olha aí ontem tem duo
0,acabou agora aqui
0,que delícia!!
0,como assim?
0,coisa linda
0,tá a caminho já?
0,qual campeonato
0,kkkkkkkkkkk
0,qq tinha rolado?
0,xaina
0,o pagy entrou no det parece
0,vamos de qr do coco
0,brunch sustentou então
0,e molho pesto
0,ah
0,poxa
0,sacanagem
0,baratasso
0,esse era tabaco
0,acordei mais tarde que o esperado
0,af
0,ata
0,tem que ser
0,mas não é ele
0,confere se não tem sobrando na gaveta tb
0,mas preferi os outros que eu falei
0,😍
0,amanhã é o melhor dia sem discussões.
0,sim
0,uai
0,irei conversar com a minha mãe novamente
0,eu não conheço essas pessoas
0,acho que vou mimir agora
0,finish☑️
0,dia tá meio nublado aí né
0,a marina te contou?
0,tomara que a aula já tenha acabado
0,comprava fácil
0,vai ser amanhã
0,que nego
0,kkkkkkkkkk
0,me responde aqui
0,lindeza!
0,mas é claro
0,só os botões desconhecidos
0,‎Waiting for this message. This may take a while.
0,kkkkkkkkkkkkkk
0,tem nada de puta nisso ai
0,nao guento ficar em casa
0,eu tava com 50 no final da 2 etapa
0,bebe cerveja desde quando
0,não podia ficar sem tomar
0,ja decidiram as atrações?
0,qq isso?
0,kkkkkk
0,voltamo à aulinha online
0,sujando o banco todo
0,ah yeah
0,quais opções?
0,tênis tb não ne
0,tendi
0,como assim?
0,hello
0,[KEINE] Toto - Africa (Rampa Edit).mp3 ‎document omitted
0,hello
0,admito
0,oi
0,👏🏼👏🏼👏🏼
0,kkkkkkkkkkkkkkk
0,amanhã tem aula
0,amo sim!!
0,olha só
0,👏🏼
0,não
0,bjs
0,boa noite 😴
0,n
0,os donos são bem com cara de peruano
0,ta almoçando aí?
0,como assim gente
0,virou um toddy
0,ele formou esse ano
0,seu pai tb não viu
0,ja tá com companhia aí?
0,se da pra fazer mais cedo
0,kkkkkkkk
0,efeito será o mesmo
0,oie
0,conheço bem hein
0,yes
0,que combine
0,um minuto
0,😳
0,kkkkkkk
0,hospital
0,kakkakakakakakakkaak
0,me chamar de amor?
0,aposto que vc deixou e seguiu de volta
0,200m livre
0,essas coisas
0,não
0,preparado
0,😂
0,vc tá vendo o filme?
0,olha só
0,tem cara de uns 13 anos
0,16h
0,kkkkkkkkkk
0,mas uma foi cancelada e a outra é português
0,beijos
0,agora que vi que tem que mandar vídeo e tal
0,amanhã infelizmente estou dentro da toca
0,sao quantos homens?
0,yeah
0,sair mais de uma vez é pior
0,mentira
0,chegando em casa
0,kkkkkkkkk
0,no carro
0,é mais legal que af só
0,nos vamos na academia antes
0,kkkkkkkk
0,vou chegar aí e a gente sobe junto
0,de onde vc tá
0,yay❤️‍🔥
0,chegando la
0,fake news
0,kkkkkkkkkkk
0,to azedo
0,sim
0,uai
0,quantas pessoas que tem na sala dela?
0,umas 10h
0,igual cerveja e refrigerante
0,ou ela tá dormindo?
0,manda fotinhas ai
0,ainda bem que nao tem diferença
0,de manter dia 10
0,em casa já?
0,tenho aula depois do almoço
0,vou jogar bola com o theo 12h
0,nu
0,do banha
0,ela tava te esperando pro café
0,kkkkkkk
0,hoje nao da
0,defender agora
0,uai
0,kakakakkakaak
0,🥰
0,inclusive cartinhas?
0,quando eles sairem
0,o outro
0,que vai ter parada no méxico
0,g
0,botou uma música de fundo
0,mas essa parte nem é tão boa assim
0,minha urbs
0,acho que fiquei meio traumatizado
0,qual o nome de la memo?
0,quem posta um vídeo assim
0,bom dia☀️
0,kakkakakakakaka
0,vc tá sempre linda
0,😋😋😋
0,eu te daria muitos presentinhos😔
0,barulho do áudio
0,tomar uns saques
0,kelly e bela
0,7h la no buritis
0,vai viajar passando mal
0,kkkkkkkkk
0,pala
0,kkkkkk
0,conversando com os caras
0,comprar os convites
0,🤣
0,bom dia☀️
0,ou só adicionando mais uma?
0,o preto tb
0,👍🏼👍🏼👍🏼
0,👏🏼👏🏼
0,🤣
0,realmente
0,ai é foda
0,quando falar do contatin da alice
0,meu deus
0,💪🏼
0,🤣
0,podemos
0,onde é isso?
0,bota a bolsa quente
0,esse almoço seu foi uma luta
0,destaque de cajuru?
0,muito barulho
0,igual meu soluço
0,do eustaquio
0,aproveitar pra fazer coisas ilícitas nesse mês
0,viu
0,passou pra quarta
